X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;;;;;;;;;;;;;;;;;;
-7.701.818;-1.212.901;TIENDAS TAMBO S.A.C;AV. ROOSEVELT 6396 ESQ CON CL MIOTA 593 LIMA-LIMA-MIRAFLORES;07:00 am - 10:30 pm;-1.212.901;-7.701.818;07:00 am - 10:30 pm;AV. ROOSEVELT 6396 ESQ CON CL MIOTA 593 LIMA-LIMA-MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.704.583;-1.193.348;PATRICIA KJIURO AYME;CALLE LOPEZ ALBUJAR 113 URB LA PASCANA;07:00 am - 10:00 pm;-1.193.348;-7.704.583;07:00 am - 10:00 pm;CALLE LOPEZ ALBUJAR 113 URB LA PASCANA;;;;;;;;;;;;;;;;;;;;;;;
-770.887;-119.736;TIENDAS TAMBO S.A.C;MZA. B LOTE. 16 MAVIL DE NARANJAL (PROG. VIV. MAVIL DE NARANJAL) SAN MARTIN DE PORRES;07:00 am - 10:30 pm;-119.736;-770.887;07:00 am - 10:30 pm;MZA. B LOTE. 16 MAVIL DE NARANJAL (PROG. VIV. MAVIL DE NARANJAL) SAN MARTIN DE PORRES;;;;;;;;;;;;;;;;;;;;;;;
-7.701.076;-1.185.528;ALEX IVAN AREVALO IMAN;MZA. C LOTE 14 PRO VIV. RESIDENCIAL CALIFORNIA ;07:00 am - 10:00 pm;-1.185.528;-7.701.076;07:00 am - 10:00 pm;MZA. C LOTE 14 PRO VIV. RESIDENCIAL CALIFORNIA;;;;;;;;;;;;;;;;;;;;;;;
-7.707.063;-1.201.078;TIENDAS TAMBO S.A.C;LOTE 1 MZ J URB. ASOCIACIÓN PRO VIVIENDA VIRGEN DE LA PUERTA LIMA - LIMA - LOS OLIVOS;07:00 am - 10:30 pm;-1.201.078;-7.707.063;07:00 am - 10:30 pm;LOTE 1 MZ J URB. ASOCIACIÓN PRO VIVIENDA VIRGEN DE LA PUERTA LIMA - LIMA - LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
-7.704.621;-1.191.588;FARMACIA SAN ANTONIO;AV LOS INCAS 570 URB SAN JUAN BAUTISTA;07:00 am - 10:00 pm;-1.191.588;-7.704.621;07:00 am - 10:00 pm;AV LOS INCAS 570 URB SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;
-7.694.651;-1.206.949;BIOFARMA;CALLE MADRE DE DIOS 200 URB SANTA PATRICIA 2DA ETAPA;07:00 am - 10:00 pm;-1.206.949;-7.694.651;07:00 am - 10:00 pm;CALLE MADRE DE DIOS 200 URB SANTA PATRICIA 2DA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-769.879;-1.207.619;TIENDAS TAMBO S.A.C;AV. LOS PARACAS NRO. 206 URB. SALAMANCA (URB SALAMANCA) LIMA-LIMA-ATE;07:00 am - 10:30 pm;-1.207.619;-769.879;07:00 am - 10:30 pm;AV. LOS PARACAS NRO. 206 URB. SALAMANCA (URB SALAMANCA) LIMA-LIMA-ATE;;;;;;;;;;;;;;;;;;;;;;;
-7.692.719;-1.222.855;BOTICA VIDA Y HOGAR;AGRUPACION PACHACAMAC - SECTOR 4 - MZ N PRIMA -  LT 8 / AV REVOLUCION;07:00 am - 10:00 pm;-1.222.855;-7.692.719;07:00 am - 10:00 pm;AGRUPACION PACHACAMAC - SECTOR 4 - MZ N PRIMA -  LT 8 / AV REVOLUCION;;;;;;;;;;;;;;;;;;;;;;;
-7.707.605;-1.195.985;BAZAR ELECTRONICA;AV. CENTRAL 780;07:30 am - 10:00 pm;-1.195.985;-7.707.605;07:30 am - 10:00 pm;AV. CENTRAL 780;;;;;;;;;;;;;;;;;;;;;;;
-7.703.557;-1.188.743;LUZ VALQUI ALVA;JR DELTAS 110 URB RESO LUCIANA DE CARABAYLLO ;07:00 am - 10:00 pm;-1.188.743;-7.703.557;07:00 am - 10:00 pm;JR DELTAS 110 URB RESO LUCIANA DE CARABAYLLO;;;;;;;;;;;;;;;;;;;;;;;
-7.703.192;-1.189.819;BOTICA;AV CHIMPU OCLLO MZ L1 LT 1 URB LUCYANA;07:00 am - 10:00 pm;-1.189.819;-7.703.192;07:00 am - 10:00 pm;AV CHIMPU OCLLO MZ L1 LT 1 URB LUCYANA;;;;;;;;;;;;;;;;;;;;;;;
-7.700.747;-1.218.715;MULTISERVICIOS CHAVELITA;ASOC TRABAJADORES SARITA MZ D LT 64 STAND 48 (FRENTE A COMISARIA) ;07:30 am - 10:00 pm;-1.218.715;-7.700.747;07:30 am - 10:00 pm;ASOC TRABAJADORES SARITA MZ D LT 64 STAND 48 (FRENTE A COMISARIA);;;;;;;;;;;;;;;;;;;;;;;
-7.707.847;-1.197.792;UNIFARMA.S;AV. NARANJAL 1201 URB. PARQUE NARANJAL 2DA ETAPA;07:00 am - 10:00 pm;-1.197.792;-7.707.847;07:00 am - 10:00 pm;AV. NARANJAL 1201 URB. PARQUE NARANJAL 2DA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.706.389;-1.199.322;BOTICA;AV ALFREDO MENDIOLA 3573 URB PANAMERICANA NORTE;07:00 am - 10:00 pm;-1.199.322;-7.706.389;07:00 am - 10:00 pm;AV ALFREDO MENDIOLA 3573 URB PANAMERICANA NORTE;;;;;;;;;;;;;;;;;;;;;;;
-7.703.799;-1.195.621;LIBRERIA BAZAR ZAARA;AV. CERRO DE PASCO 887 PPJJ LA LIBERTAD;07:00 am - 10:00 pm;-1.195.621;-7.703.799;07:00 am - 10:00 pm;AV. CERRO DE PASCO 887 PPJJ LA LIBERTAD;;;;;;;;;;;;;;;;;;;;;;;
-7.704.557;-1.198.182;BOTICAS T&C;AV SACSAYHUAMAN 897 URB TAHUANTINSUYO / FRENTE AL MERCADO CENTRAL DE TAHUANTINSU;07:30 am - 10:00 pm;-1.198.182;-7.704.557;07:30 am - 10:00 pm;AV SACSAYHUAMAN 897 URB TAHUANTINSUYO / FRENTE AL MERCADO CENTRAL DE TAHUANTINSU;;;;;;;;;;;;;;;;;;;;;;;
-7.701.709;-1.187.553;SOLEDAD NANCY SALVADOR TAPIA;PROLONG AUGUSTO B. LEGUIA 110 EL PROGRESO ALT KM 20 DE LA AV TUPAC AMARU ;07:00 am - 10:00 pm;-1.187.553;-7.701.709;07:00 am - 10:00 pm;PROLONG AUGUSTO B. LEGUIA 110 EL PROGRESO ALT KM 20 DE LA AV TUPAC AMARU;;;;;;;;;;;;;;;;;;;;;;;
-7.703.124;-1.206.877;MARIA CLAVO AGUILAR;JR. SEBASTIAN BARRANCA 109 ;07:00 am - 10:00 pm;-1.206.877;-7.703.124;07:00 am - 10:00 pm;JR. SEBASTIAN BARRANCA 109;;;;;;;;;;;;;;;;;;;;;;;
-7.697.249;-121.035;TIENDAS TAMBO S.A.C;LOTE 24 DE LA MANZANA J-1 CON FRENTE EN LA AV. EL POLO, URB. CENTRO COMERCIAL MONTERRICO CHICO;07:00 am - 10:30 pm;-121.035;-7.697.249;07:00 am - 10:30 pm;LOTE 24 DE LA MANZANA J-1 CON FRENTE EN LA AV. EL POLO, URB. CENTRO COMERCIAL MONTERRICO CHICO;;;;;;;;;;;;;;;;;;;;;;;
-7.704.767;-1.202.281;ELEODORO EVARISTO SIESQUEN JUAREZ;AV. TUPAC AMARU 210 PUERTA 3 FACULTAD DE QUIMICA Y TEXTIL SECTOR 5 ;07:00 am - 10:00 pm;-1.202.281;-7.704.767;07:00 am - 10:00 pm;AV. TUPAC AMARU 210 PUERTA 3 FACULTAD DE QUIMICA Y TEXTIL SECTOR 5;;;;;;;;;;;;;;;;;;;;;;;
-7.707.628;-119.171;BOTICA;URB SAN ANTONIO DE CARABAYLLO MZ M1 LT 16;07:00 am - 10:00 pm;-119.171;-7.707.628;07:00 am - 10:00 pm;URB SAN ANTONIO DE CARABAYLLO MZ M1 LT 16;;;;;;;;;;;;;;;;;;;;;;;
-7.709.295;-1.199.123;YENI ROSI JARA MEZA;MZ C LOTE 16 ASOC. LAS MARGARITAS ;07:00 am - 10:00 pm;-1.199.123;-7.709.295;07:00 am - 10:00 pm;MZ C LOTE 16 ASOC. LAS MARGARITAS;;;;;;;;;;;;;;;;;;;;;;;
-7.711.243;-1.199.611;TIENDAS TAMBO S.A.C;AV. CANTA CALLAO MZA. G LOTE. 5 A.V. LAS BEGONIAS SANTA ROSA (AV.CANTA CALLAO MZ.G LT.05 CDRA 1) LIMA - LIMA - SAN MARTIN DE PORRES;07:00 am - 10:30 pm;-1.199.611;-7.711.243;07:00 am - 10:30 pm;AV. CANTA CALLAO MZA. G LOTE. 5 A.V. LAS BEGONIAS SANTA ROSA (AV.CANTA CALLAO MZ.G LT.05 CDRA 1) LIMA - LIMA - SAN MARTIN DE PORRES;;;;;;;;;;;;;;;;;;;;;;;
-7.697.968;-1.213.036;TIENDAS TAMBO S.A.C;AV.  ALFREDO BENAVIDES  N° 5437/5439 MZ D2 LT 17 URB. LAS GARDENIAS. SURCO;07:00 am - 10:30 pm;-1.213.036;-7.697.968;07:00 am - 10:30 pm;AV.  ALFREDO BENAVIDES  N° 5437/5439 MZ D2 LT 17 URB. LAS GARDENIAS. SURCO;;;;;;;;;;;;;;;;;;;;;;;
-7.705.568;-1.198.738;LIBRERIA;JR ARAVICUS 160 URB. TAHUANTINSUYO ;07:00 am - 10:00 pm;-1.198.738;-7.705.568;07:00 am - 10:00 pm;JR ARAVICUS 160 URB. TAHUANTINSUYO;;;;;;;;;;;;;;;;;;;;;;;
-7.705.367;-1.192.944;TIENDAS TAMBO S.A.C;AV. UNIVERSITARIA 8021, COMAS 15314;07:00 am - 10:30 pm;-1.192.944;-7.705.367;07:00 am - 10:30 pm;AV. UNIVERSITARIA 8021, COMAS 15314;;;;;;;;;;;;;;;;;;;;;;;
-7.697.562;-1.207.617;TIENDAS TAMBO S.A.C;VIA DE EVITAMIENTO MZ. G LOTE 22 LOS QUECHUAS URB.LOS PARQUES DE MONTERRICO LIMA-LIMA-ATE;07:00 am - 10:30 pm;-1.207.617;-7.697.562;07:00 am - 10:30 pm;VIA DE EVITAMIENTO MZ. G LOTE 22 LOS QUECHUAS URB.LOS PARQUES DE MONTERRICO LIMA-LIMA-ATE;;;;;;;;;;;;;;;;;;;;;;;
-7.708.072;-1.198.294;BODEGA;AV LOS ALISOS MZ C LT 17 URB LOS JAZMINES DEL  NARANJAL ;07:00 am - 10:00 pm;-1.198.294;-7.708.072;07:00 am - 10:00 pm;AV LOS ALISOS MZ C LT 17 URB LOS JAZMINES DEL  NARANJAL;;;;;;;;;;;;;;;;;;;;;;;
-7.703.965;-1.189.977;MULTISERVICIOS BODEGA T&A;AV UNIVERSITARIA NRO 160 ( MERCADO SAN FELIPE);07:30 am - 10:00 pm;-1.189.977;-7.703.965;07:30 am - 10:00 pm;AV UNIVERSITARIA NRO 160 ( MERCADO SAN FELIPE);;;;;;;;;;;;;;;;;;;;;;;
-7.697.288;-1.209.779;TIENDAS TAMBO S.A.C;AV. EL DERBY NRO. 260 LOCAL 1C LIMA - LIMA - SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.209.779;-7.697.288;07:00 am - 10:30 pm;AV. EL DERBY NRO. 260 LOCAL 1C LIMA - LIMA - SANTIAGO DE SURCO;;;;;;;;;;;;;;;;;;;;;;;
-7.706.001;-1.209.899;OXXO ALIAGA;AV. JUAN DE ALIAGA 427, MAGDALENA;07:00 am - 10:00 pm;-1.209.899;-7.706.001;07:00 am - 10:00 pm;AV. JUAN DE ALIAGA 427, MAGDALENA;;;;;;;;;;;;;;;;;;;;;;;
-7.701.867;-1.186.883;BOTICA;CALLE SN MZ B LT 29 ASOC MERCEDES DE CARABAYLLO;07:00 am - 10:00 pm;-1.186.883;-7.701.867;07:00 am - 10:00 pm;CALLE SN MZ B LT 29 ASOC MERCEDES DE CARABAYLLO;;;;;;;;;;;;;;;;;;;;;;;
-7.704.028;-1.191.429;TIENDAS TAMBO S.A.C;AV. TUPAC AMARU 7901 - 7903 LIMA-LIMA-COMAS;07:00 am - 10:30 pm;-1.191.429;-7.704.028;07:00 am - 10:30 pm;AV. TUPAC AMARU 7901 - 7903 LIMA-LIMA-COMAS;;;;;;;;;;;;;;;;;;;;;;;
-7.708.353;-1.199.615;LICORERIA ZAMBRANO;AV. ANTUNEZ DE MAYOLO N°1607;07:00 am - 10:00 pm;-1.199.615;-7.708.353;07:00 am - 10:00 pm;AV. ANTUNEZ DE MAYOLO N°1607;;;;;;;;;;;;;;;;;;;;;;;
-7.702.281;-118.685;BOTICA;MZ F LT 14 (INTER STAND C) PROG DE VIV SAN FRANCISCO DE CARABAYLLO  ;07:00 am - 10:00 pm;-118.685;-7.702.281;07:00 am - 10:00 pm;MZ F LT 14 (INTER STAND C) PROG DE VIV SAN FRANCISCO DE CARABAYLLO;;;;;;;;;;;;;;;;;;;;;;;
-7.704.819;-1.191.486;BOTICA Y MAS SALUD;AV. LOS INCAS MZA. D LOTE 18A AAHH SAN JUAN BAUTISTA;07:00 am - 10:00 pm;-1.191.486;-7.704.819;07:00 am - 10:00 pm;AV. LOS INCAS MZA. D LOTE 18A AAHH SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;
-7.702.182;-1.217.169;TIENDAS TAMBO S.A.C;CARR. PANAMERICANA LTE Nº 30 DE LA MZA P. URB LOS LAURELES(AV.HUAYLAS 788-790)  LIMA-LIMA-CHORRILLOS;07:00 am - 10:30 pm;-1.217.169;-7.702.182;07:00 am - 10:30 pm;CARR. PANAMERICANA LTE Nº 30 DE LA MZA P. URB LOS LAURELES(AV.HUAYLAS 788-790)  LIMA-LIMA-CHORRILLOS;;;;;;;;;;;;;;;;;;;;;;;
-7.700.788;-1.218.756;TIENDAS TAMBO S.A.C;AV. VILLA MARINA 110 CHORRILLOS (AV. DEFENSOR DEL MORRO (HUAYLAS)) LIMA-LIMA-CHORRILLOS;07:00 am - 10:30 pm;-1.218.756;-7.700.788;07:00 am - 10:30 pm;AV. VILLA MARINA 110 CHORRILLOS (AV. DEFENSOR DEL MORRO (HUAYLAS)) LIMA-LIMA-CHORRILLOS;;;;;;;;;;;;;;;;;;;;;;;
-7.701.508;-1.220.326;MARKET LA GLADYS;ALAMEDA LOS CEDROS MZ N6 LT37 ;07:00 am - 10:00 pm;-1.220.326;-7.701.508;07:00 am - 10:00 pm;ALAMEDA LOS CEDROS MZ N6 LT37;;;;;;;;;;;;;;;;;;;;;;;
-7.709.832;-1.198.429;MINIMERCADO SERVIR;COPERATIVA SAN JUAN SALINAS MZ D LT10;07:00 am - 10:00 pm;-1.198.429;-7.709.832;07:00 am - 10:00 pm;COPERATIVA SAN JUAN SALINAS MZ D LT10;;;;;;;;;;;;;;;;;;;;;;;
-7.703.567;-1.188.542;MINI MARKET;MZ D LT 28 URB SANTO DOMINGO 1RA ETAPA;07:00 am - 10:00 pm;-1.188.542;-7.703.567;07:00 am - 10:00 pm;MZ D LT 28 URB SANTO DOMINGO 1RA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.700.927;-121.278;TIENDAS TAMBO S.A.C;AV. BENAVIDES NRO. 2230 LIMA-LIMA-MIRAFLORES;07:00 am - 10:30 pm;-121.278;-7.700.927;07:00 am - 10:30 pm;AV. BENAVIDES NRO. 2230 LIMA-LIMA-MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.693.512;-1.222.524;DILAN Y AKEMY;GR 22 MZ K LT 11 ST 3 / CRUCE CON MARIATEGUI;07:30 am - 10:00 pm;-1.222.524;-7.693.512;07:30 am - 10:00 pm;GR 22 MZ K LT 11 ST 3 / CRUCE CON MARIATEGUI;;;;;;;;;;;;;;;;;;;;;;;
-7.703.929;-1.190.043;TIENDAS TAMBO S.A.C;AV. UNIVERSITARIA 10640 URB. SAN FELIPE COMAS;07:00 am - 10:30 pm;-1.190.043;-7.703.929;07:00 am - 10:30 pm;AV. UNIVERSITARIA 10640 URB. SAN FELIPE COMAS;;;;;;;;;;;;;;;;;;;;;;;
-7.691.049;-1.223.166;TIENDAS TAMBO S.A.C;MZA F12A LOTE 1 AGRUPAMIENTO PACHACAMAC (GRUPO F - PARCELA 3C) LIMA - LIMA- VILLA EL SALVADOR;07:00 am - 10:30 pm;-1.223.166;-7.691.049;07:00 am - 10:30 pm;MZA F12A LOTE 1 AGRUPAMIENTO PACHACAMAC (GRUPO F - PARCELA 3C) LIMA - LIMA- VILLA EL SALVADOR;;;;;;;;;;;;;;;;;;;;;;;
-7.706.337;-1.199.927;TIENDAS TAMBO S.A.C;JR. MERCURIO DPTO UI 1 MZ R LT. 14 URB. RESIDENCIAL SOL DE ORO ;07:00 am - 10:30 pm;-1.199.927;-7.706.337;07:00 am - 10:30 pm;JR. MERCURIO DPTO UI 1 MZ R LT. 14 URB. RESIDENCIAL SOL DE ORO;;;;;;;;;;;;;;;;;;;;;;;
-7.707.585;-1.198.288;DANITZA GIOVANNA ESPINOZA CHACON;CALLE VIRGEN DE FATIMA MZ M1 LT 4 AAHH CUETO FERNANDINI ;07:00 am - 10:00 pm;-1.198.288;-7.707.585;07:00 am - 10:00 pm;CALLE VIRGEN DE FATIMA MZ M1 LT 4 AAHH CUETO FERNANDINI;;;;;;;;;;;;;;;;;;;;;;;
-769.373;-1.211.203;GRUPO HOYOS;AV LOS FRESNOS 1904 URB PORTADA DEL SOL ;07:00 am - 10:00 pm;-1.211.203;-769.373;07:00 am - 10:00 pm;AV LOS FRESNOS 1904 URB PORTADA DEL SOL;;;;;;;;;;;;;;;;;;;;;;;
-7.704.177;-1.205.788;GENN;AV. ALFONSO UGARTE  1390;07:00 am - 10:00 pm;-1.205.788;-7.704.177;07:00 am - 10:00 pm;AV. ALFONSO UGARTE  1390;;;;;;;;;;;;;;;;;;;;;;;
-7.708.344;-1.193.539;ERICKA RAQUEL GIL PRADO;MZA. D LOTE 1 URB LOS PORTALES DE CHILLON;07:00 am - 10:00 pm;-1.193.539;-7.708.344;07:00 am - 10:00 pm;MZA. D LOTE 1 URB LOS PORTALES DE CHILLON;;;;;;;;;;;;;;;;;;;;;;;
-7.709.267;-1.197.826;BOTICAS MIAFARMA;AV CANTA CALLAO MZ R LT 22 URB VIRGEN DEL ROSARIO;07:30 am - 10:00 pm;-1.197.826;-7.709.267;07:30 am - 10:00 pm;AV CANTA CALLAO MZ R LT 22 URB VIRGEN DEL ROSARIO;;;;;;;;;;;;;;;;;;;;;;;
-7.699.484;-1.217.954;BOTICA;AV EL SOL MZ 01 LT 02 URB LA CAMPIÑA;07:00 am - 10:00 pm;-1.217.954;-7.699.484;07:00 am - 10:00 pm;AV EL SOL MZ 01 LT 02 URB LA CAMPIÑA;;;;;;;;;;;;;;;;;;;;;;;
-7.701.534;-1.191.368;BODEGUITA KATY;AV. REVOLUCIÓN 2700 A.H COLLIQUE  / ALTURA DE COMISARIA COLILIQUE;07:30 am - 10:00 pm;-1.191.368;-7.701.534;07:30 am - 10:00 pm;AV. REVOLUCIÓN 2700 A.H COLLIQUE  / ALTURA DE COMISARIA COLILIQUE;;;;;;;;;;;;;;;;;;;;;;;
-7.690.623;-1.221.334;TIENDAS TAMBO S.A.C;AV. LIMA NRO. 1045;07:00 am - 10:30 pm;-1.221.334;-7.690.623;07:00 am - 10:30 pm;AV. LIMA NRO. 1045;;;;;;;;;;;;;;;;;;;;;;;
-770.127;-1.219.927;BAZAR;MZA. F6 LOTE 33 LOS CEDROS DE VILLA;07:00 am - 10:00 pm;-1.219.927;-770.127;07:00 am - 10:00 pm;MZA. F6 LOTE 33 LOS CEDROS DE VILLA;;;;;;;;;;;;;;;;;;;;;;;
-7.694.214;-1.206.547;LIBRERIA BAZAR;AV JAVIER PARDO ESTE 7101A URB COVIMA;07:00 am - 10:00 pm;-1.206.547;-7.694.214;07:00 am - 10:00 pm;AV JAVIER PARDO ESTE 7101A URB COVIMA;;;;;;;;;;;;;;;;;;;;;;;
-7.704.727;-1.197.307;MINIMARKET D UNNO;CALLE QUIPACOCHA 273 URB TÚPAC AMARU ;07:00 am - 10:00 pm;-1.197.307;-7.704.727;07:00 am - 10:00 pm;CALLE QUIPACOCHA 273 URB TÚPAC AMARU;;;;;;;;;;;;;;;;;;;;;;;
-7.707.539;-119.359;TIENDAS TAMBO S.A.C;JIRÓN LA HONRADEZ N° 587, SUB LOTE 1-B, MANZANA QQ5, URBANIZACIÓN PRO, QUINTO SECTOR, PRIMERA ETAPA, DISTRITO DE LOS OLIVOS, PROVINCIA Y DEPARTAMENTO DE LIMA;07:00 am - 10:30 pm;-119.359;-7.707.539;07:00 am - 10:30 pm;JIRÓN LA HONRADEZ N° 587, SUB LOTE 1-B, MANZANA QQ5, URBANIZACIÓN PRO, QUINTO SECTOR, PRIMERA ETAPA, DISTRITO DE LOS OLIVOS, PROVINCIA Y DEPARTAMENTO DE LIMA;;;;;;;;;;;;;;;;;;;;;;;
-7.701.768;-1.213.396;TIENDAS TAMBO S.A.C;AV. MRCAL CASTILLA 152 164 172 ESQ CON REPUBLICA DE PANAMA LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.213.396;-7.701.768;07:00 am - 10:30 pm;AV. MRCAL CASTILLA 152 164 172 ESQ CON REPUBLICA DE PANAMA LIMA-LIMA-SANTIAGO DE SURCO;;;;;;;;;;;;;;;;;;;;;;;
-7.703.364;-1.212.058;TIENDAS TAMBO S.A.C;CAL.BERLIN NRO. 389 LIMA-LIMA-MIRAFLORES;07:00 am - 10:30 pm;-1.212.058;-7.703.364;07:00 am - 10:30 pm;CAL.BERLIN NRO. 389 LIMA-LIMA-MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.698.936;-1.207.776;TIENDAS TAMBO S.A.C;AV. CIRCUNVALACION NRO. 2498 LIMA - LIMA - SAN LUIS;07:00 am - 10:30 pm;-1.207.776;-7.698.936;07:00 am - 10:30 pm;AV. CIRCUNVALACION NRO. 2498 LIMA - LIMA - SAN LUIS;;;;;;;;;;;;;;;;;;;;;;;
-7.705.881;-120.259;TIENDAS TAMBO S.A.C;AV. B NRO. 501 URB. INGENIERIA V ETAPA LIMA-LIMA-SAN MARTIN DE PORRES;07:00 am - 10:30 pm;-120.259;-7.705.881;07:00 am - 10:30 pm;AV. B NRO. 501 URB. INGENIERIA V ETAPA LIMA-LIMA-SAN MARTIN DE PORRES;;;;;;;;;;;;;;;;;;;;;;;
-770.138;-1.209.881;BODEGA EL PAISA;AV.PETIT THOUARS NRO. 4536;07:30 am - 10:00 pm;-1.209.881;-770.138;07:30 am - 10:00 pm;AV.PETIT THOUARS NRO. 4536;;;;;;;;;;;;;;;;;;;;;;;
-7.708.971;-119.951;BOTICA FARMA SALUD;AV. VICTOR RAUL HAYA DE LA TORRE MZ B2 LOTE 10 3RA ETAPA SAN FRANCISCO DE CAYRAN;07:00 am - 10:00 pm;-119.951;-7.708.971;07:00 am - 10:00 pm;AV. VICTOR RAUL HAYA DE LA TORRE MZ B2 LOTE 10 3RA ETAPA SAN FRANCISCO DE CAYRAN;;;;;;;;;;;;;;;;;;;;;;;
-7.705.818;-1.197.275;BOTICA LF LIFE-FARMA;CALLE 25 138 URB CARABAYLLO;07:00 am - 10:00 pm;-1.197.275;-7.705.818;07:00 am - 10:00 pm;CALLE 25 138 URB CARABAYLLO;;;;;;;;;;;;;;;;;;;;;;;
-7.706.037;-1.194.465;MULTISERVICIOS RUTH;AV UNIVERSITARIA 6610 SANTA LUZMILA;07:00 am - 10:00 pm;-1.194.465;-7.706.037;07:00 am - 10:00 pm;AV UNIVERSITARIA 6610 SANTA LUZMILA;;;;;;;;;;;;;;;;;;;;;;;
-7.709.762;-1.198.427;BOTICA FLORFARMA;MZ.E LT.02 ASOC. VIV. OJIHUA / AV CANTA CALLAO CON AV LOS OLIVOS;07:30 am - 10:00 pm;-1.198.427;-7.709.762;07:30 am - 10:00 pm;MZ.E LT.02 ASOC. VIV. OJIHUA / AV CANTA CALLAO CON AV LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
-76.981;-1.215.078;TIENDAS TAMBO S.A.C;AV. LOS LIRIOS 115 MZ H LT 10 URB. ENTEL PERU URB. SAN JUAN DE MIRAFLORES;07:00 am - 10:30 pm;-1.215.078;-76.981;07:00 am - 10:30 pm;AV. LOS LIRIOS 115 MZ H LT 10 URB. ENTEL PERU URB. SAN JUAN DE MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.695.872;-1.219.573;TIENDAS TAMBO S.A.C;PUEBLO JOVEN VILLA EL SALVADOR, MANZANA K, LOTE 13, SECTOR PRIMERO, GRUPO RESIDENCIAL 22ª;07:00 am - 10:30 pm;-1.219.573;-7.695.872;07:00 am - 10:30 pm;PUEBLO JOVEN VILLA EL SALVADOR, MANZANA K, LOTE 13, SECTOR PRIMERO, GRUPO RESIDENCIAL 22ª;;;;;;;;;;;;;;;;;;;;;;;
-7.702.939;-1.187.331;BOTICA;MZ L2 LT 11 URB SANTO DOMINGO 6TA ETAPA;07:00 am - 10:00 pm;-1.187.331;-7.702.939;07:00 am - 10:00 pm;MZ L2 LT 11 URB SANTO DOMINGO 6TA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.697.581;-1.218.403;TIENDAS TAMBO S.A.C;COO. AMERICA MZA LT 19 PANAMERICANA SUR SAN JUAN DE MIRAFLORES;07:00 am - 10:30 pm;-1.218.403;-7.697.581;07:00 am - 10:30 pm;COO. AMERICA MZA LT 19 PANAMERICANA SUR SAN JUAN DE MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.708.331;-1.192.394;BOTICA;MZ J LT 29 ASOC JARDINES DE SHANGRILA;07:00 am - 10:00 pm;-1.192.394;-7.708.331;07:00 am - 10:00 pm;MZ J LT 29 ASOC JARDINES DE SHANGRILA;;;;;;;;;;;;;;;;;;;;;;;
-7.698.835;-1.212.757;TIENDAS TAMBO S.A.C;CALLE ARCO IRIS PSJE 118 PUERTA 6 PRIMER PISO URB.ALBORADA LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.212.757;-7.698.835;07:00 am - 10:30 pm;CALLE ARCO IRIS PSJE 118 PUERTA 6 PRIMER PISO URB.ALBORADA LIMA-LIMA-SANTIAGO DE SURCO;;;;;;;;;;;;;;;;;;;;;;;
-7.696.423;-1.210.413;TIENDAS TAMBO S.A.C;AV. PROLONGACION PRIMAVERA LOTE. 3 URB. PARQUE PRIMAVERA (AV PROLONGACIÓN PRIMAVERA LT 3 MZ);07:00 am - 10:30 pm;-1.210.413;-7.696.423;07:00 am - 10:30 pm;AV. PROLONGACION PRIMAVERA LOTE. 3 URB. PARQUE PRIMAVERA (AV PROLONGACIÓN PRIMAVERA LT 3 MZ);;;;;;;;;;;;;;;;;;;;;;;
-7.706.955;-1.195.326;TIENDAS TAMBO S.A.C;AV. SAN BERNARDO MZA. 1J LOTE. 1 URB. SANTA LUISA ETAPA 1 LIMA - LIMA - LOS OLIVOS;07:00 am - 10:30 pm;-1.195.326;-7.706.955;07:00 am - 10:30 pm;AV. SAN BERNARDO MZA. 1J LOTE. 1 URB. SANTA LUISA ETAPA 1 LIMA - LIMA - LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
-7.704.659;-1.209.226;OXXO LAURELES;AV. DOS DE MAYO N° 1500;07:00 am - 10:00 pm;-1.209.226;-7.704.659;07:00 am - 10:00 pm;AV. DOS DE MAYO N° 1500;;;;;;;;;;;;;;;;;;;;;;;
