X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;;;;;;;;;;;;;;;;;;
-7.705.279;-1.195.607;TIENDAS TAMBO S.A.C;AV. TUPAC AMARU NRO 4961 URB HUAQUILLAY LIMA-LIMA-COMAS;07:00 am - 10:30 pm;-1.195.607;-7.705.279;07:00 am - 10:30 pm;AV. TUPAC AMARU NRO 4961 URB HUAQUILLAY LIMA-LIMA-COMAS;;;;;;;;;;;;;;;;;;;;;;;
-7.705.879;-1.197.994;TIENDAS TAMBO S.A.C;AV. CHINCHAYSUYO MZA N LTE 13 LIMA-LIMA-INDEPENDENCIA;07:00 am - 10:30 pm;-1.197.994;-7.705.879;07:00 am - 10:30 pm;AV. CHINCHAYSUYO MZA N LTE 13 LIMA-LIMA-INDEPENDENCIA;;;;;;;;;;;;;;;;;;;;;;;
-7.702.341;-1.210.225;TIENDAS TAMBO S.A.C;AV. ARAMBURU NRO 715 URB. LIMATAMBO LIMA-LIMA-SAN ISIDRO;07:00 am - 10:30 pm;-1.210.225;-7.702.341;07:00 am - 10:30 pm;AV. ARAMBURU NRO 715 URB. LIMATAMBO LIMA-LIMA-SAN ISIDRO;;;;;;;;;;;;;;;;;;;;;;;
-7.702.741;-1.211.377;TIENDAS TAMBO S.A.C;AV. ANGAMOS ESTE NRO 398 LIMA-LIMA-MIRAFLORES;07:00 am - 10:30 pm;-1.211.377;-7.702.741;07:00 am - 10:30 pm;AV. ANGAMOS ESTE NRO 398 LIMA-LIMA-MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.711.243;-1.199.611;TIENDAS TAMBO S.A.C;AV. CANTA CALLAO MZA. G LOTE. 5 A.V. LAS BEGONIAS SANTA ROSA (AV.CANTA CALLAO MZ.G LT.05 CDRA 1) LIMA - LIMA - SAN MARTIN DE PORRES;07:00 am - 10:30 pm;-1.199.611;-7.711.243;07:00 am - 10:30 pm;AV. CANTA CALLAO MZA. G LOTE. 5 A.V. LAS BEGONIAS SANTA ROSA (AV.CANTA CALLAO MZ.G LT.05 CDRA 1) LIMA - LIMA - SAN MARTIN DE PORRES;;;;;;;;;;;;;;;;;;;;;;;
-7.705.785;-1.198.927;TIENDAS TAMBO S.A.C;AV. CARLOS IZAGUIRRE NRO. 123 URB. HAB. IND. PANAME. NORTE LIMA-LIMA-INDEPENDENCIA;07:00 am - 10:30 pm;-1.198.927;-7.705.785;07:00 am - 10:30 pm;AV. CARLOS IZAGUIRRE NRO. 123 URB. HAB. IND. PANAME. NORTE LIMA-LIMA-INDEPENDENCIA;;;;;;;;;;;;;;;;;;;;;;;
-7.707.624;-1.195.959;TIENDAS TAMBO S.A.C;MZA. J LOTE. 14 A.V. URBANIZADORA SAN ROQUE LIMA-LIMA-LOS OLIVOS;07:00 am - 10:30 pm;-1.195.959;-7.707.624;07:00 am - 10:30 pm;MZA. J LOTE. 14 A.V. URBANIZADORA SAN ROQUE LIMA-LIMA-LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
-7.704.209;-120.563;TIENDAS TAMBO S.A.C;AV. ALFONSO UGARTE 1302 CHACRA COLORADA ;07:00 am - 10:30 pm;-120.563;-7.704.209;07:00 am - 10:30 pm;AV. ALFONSO UGARTE 1302 CHACRA COLORADA;;;;;;;;;;;;;;;;;;;;;;;
-77.027;-1.209.558;TIENDAS TAMBO S.A.C;CALLE CHINCHÓN NRO 960 LIMA-LIMA-SAN ISIDRO;07:00 am - 10:30 pm;-1.209.558;-77.027;07:00 am - 10:30 pm;CALLE CHINCHÓN NRO 960 LIMA-LIMA-SAN ISIDRO;;;;;;;;;;;;;;;;;;;;;;;
-7.707.984;-1.205.702;TIENDAS TAMBO S.A.C;AV. GERMAN AMEZAGA 374 URB. OSCAR R BENAVIDES (AV.UNIVERSITARIA 1418) LIMA-LIMA-LIMA;07:00 am - 10:30 pm;-1.205.702;-7.707.984;07:00 am - 10:30 pm;AV. GERMAN AMEZAGA 374 URB. OSCAR R BENAVIDES (AV.UNIVERSITARIA 1418) LIMA-LIMA-LIMA;;;;;;;;;;;;;;;;;;;;;;;
-7.704.047;-1.190.126;MULTISERVICIOS OKANE;AV. UNIVERSITARIA NORTE 10561 NRO. . URB. SAN FELIPE;07:30 am - 10:00 pm;-1.190.126;-7.704.047;07:30 am - 10:00 pm;AV. UNIVERSITARIA NORTE 10561 NRO. . URB. SAN FELIPE;;;;;;;;;;;;;;;;;;;;;;;
-7.705.038;-1.202.317;TIENDAS TAMBO S.A.C;AV. GERARDO UNGER NRO. 303 URB. INGENIERIA LIMA-LIMA-SAN MARTIN DE PORRES;07:00 am - 10:30 pm;-1.202.317;-7.705.038;07:00 am - 10:30 pm;AV. GERARDO UNGER NRO. 303 URB. INGENIERIA LIMA-LIMA-SAN MARTIN DE PORRES;;;;;;;;;;;;;;;;;;;;;;;
-7.699.331;-1.208.128;TIENDAS TAMBO S.A.C;AV. AGUSTIN DE LA ROSA TORO NRO. 1013 URB. VILLA JARDIN LIMA-LIMA-SAN LUIS;07:00 am - 10:30 pm;-1.208.128;-7.699.331;07:00 am - 10:30 pm;AV. AGUSTIN DE LA ROSA TORO NRO. 1013 URB. VILLA JARDIN LIMA-LIMA-SAN LUIS;;;;;;;;;;;;;;;;;;;;;;;
-7.710.387;-120.677;TIENDAS TAMBO S.A.C;AV. LOS INSURGENTE NRO 750 URB. CAPITAN DE NAVIO LUIS ASTETE LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-120.677;-7.710.387;07:00 am - 10:30 pm;AV. LOS INSURGENTE NRO 750 URB. CAPITAN DE NAVIO LUIS ASTETE LIMA-LIMA-SAN MIGUEL;;;;;;;;;;;;;;;;;;;;;;;
-7.707.258;-1.198.645;TIENDAS TAMBO S.A.C;AV. LAS PALMERAS LOTE. 6 URB. MICAELA BASTIDAS SECTOR 1 ETAPA LIMA - LIMA - LOS OLIVOS;07:00 am - 10:30 pm;-1.198.645;-7.707.258;07:00 am - 10:30 pm;AV. LAS PALMERAS LOTE. 6 URB. MICAELA BASTIDAS SECTOR 1 ETAPA LIMA - LIMA - LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
-7.708.919;-1.208.285;TIENDAS TAMBO S.A.C;AV.BRIGIDA SILVA DE OCHOA LOTE 40 MZA.J22 -2 URB.PANDO LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-1.208.285;-7.708.919;07:00 am - 10:30 pm;AV.BRIGIDA SILVA DE OCHOA LOTE 40 MZA.J22 -2 URB.PANDO LIMA-LIMA-SAN MIGUEL;;;;;;;;;;;;;;;;;;;;;;;
-7.702.572;-1.212.531;TIENDAS TAMBO S.A.C;AV. ALFREDO BENAVIDES NRO. 720 LIMA-LIMA-MIRAFLORES;07:00 am - 10:30 pm;-1.212.531;-7.702.572;07:00 am - 10:30 pm;AV. ALFREDO BENAVIDES NRO. 720 LIMA-LIMA-MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.701.772;-1.220.594;TIENDAS TAMBO S.A.C;MZA. A LOTE. 2 URB. ASOCIACIÓN DE VIVIENDA ALAMEDA SUR DE VILLA CHORRILLOS DE LOS TRABAJADORES DEL SECTOR EDUCACIÓN;07:00 am - 10:30 pm;-1.220.594;-7.701.772;07:00 am - 10:30 pm;MZA. A LOTE. 2 URB. ASOCIACIÓN DE VIVIENDA ALAMEDA SUR DE VILLA CHORRILLOS DE LOS TRABAJADORES DEL SECTOR EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;
-7.701.363;-1.220.414;TIENDAS TAMBO S.A.C;AV. ALAMEDA LOS CEDROS 293;07:00 am - 10:30 pm;-1.220.414;-7.701.363;07:00 am - 10:30 pm;AV. ALAMEDA LOS CEDROS 293;;;;;;;;;;;;;;;;;;;;;;;
-770.276;-1.210.812;BERNARDO;GENERAL SUAREZ 1214;07:00 am - 10:00 pm;-1.210.812;-770.276;07:00 am - 10:00 pm;GENERAL SUAREZ 1214;;;;;;;;;;;;;;;;;;;;;;;
-7.700.951;-1.219.824;TIENDAS TAMBO S.A.C;AV ALAMEDA SAN MARCOS 236;07:00 am - 10:30 pm;-1.219.824;-7.700.951;07:00 am - 10:30 pm;AV ALAMEDA SAN MARCOS 236;;;;;;;;;;;;;;;;;;;;;;;
