X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;
-7.702.756;-1.208.267;TIENDAS TAMBO S.A.C;AV. JOSE PARDO DE ZELA 850 ESQ. CON PSJ SN ROBERTO 212 LIMA-LIMA-LINCE;07:00 am - 10:30 pm;-1.208.267;-7.702.756;07:00 am - 10:30 pm;AV. JOSE PARDO DE ZELA 850 ESQ. CON PSJ SN ROBERTO 212 LIMA-LIMA-LINCE;;;;;;
-7.702.844;-1.212.314;TIENDAS TAMBO S.A.C;CALLE SHELL NRO 332 - LIMA-LIMA-MIRAFLORES;07:00 am - 10:30 pm;-1.212.314;-7.702.844;07:00 am - 10:30 pm;CALLE SHELL NRO 332 - LIMA-LIMA-MIRAFLORES;;;;;;
-7.702.813;-1.209.079;TIENDAS TAMBO S.A.C;CALLE LAS ORQUÍDEAS 2827 LIMA-LIMA-LINCE;07:00 am - 10:30 pm;-1.209.079;-7.702.813;07:00 am - 10:30 pm;CALLE LAS ORQUÍDEAS 2827 LIMA-LIMA-LINCE;;;;;;
-770.021;-1.208.819;TIENDAS TAMBO S.A.C;AV. JAVIER PRADO ESTE MZA. J-3 LOTE. 17 (ESQ CALLE LEONARDO DA VINCI) LIMA-LIMA-SAN BORJA;07:00 am - 10:30 pm;-1.208.819;-770.021;07:00 am - 10:30 pm;AV. JAVIER PRADO ESTE MZA. J-3 LOTE. 17 (ESQ CALLE LEONARDO DA VINCI) LIMA-LIMA-SAN BORJA;;;;;;
-7.693.836;-1.206.689;TIENDAS TAMBO S.A.C;AV. MELGAREJO NRO. 596 URB. SANTA PATRICIA 1 ETAPA (TIENDA 1 PRIMER PISO);07:00 am - 10:30 pm;-1.206.689;-7.693.836;07:00 am - 10:30 pm;AV. MELGAREJO NRO. 596 URB. SANTA PATRICIA 1 ETAPA (TIENDA 1 PRIMER PISO);;;;;;
-770.381;-1.206.678;TIENDAS TAMBO S.A.C;AV. REPUBLICA DE CHILE NRO. 280 LIMA-LIMA-JESUS MARIA;07:00 am - 10:30 pm;-1.206.678;-770.381;07:00 am - 10:30 pm;AV. REPUBLICA DE CHILE NRO. 280 LIMA-LIMA-JESUS MARIA;;;;;;
-7.704.657;-1.206.602;TIENDAS TAMBO S.A.C;AV. BRASIL NRO 680 (ESQ. RESTURACION) LIMA-LIMA-BREÑA;07:00 am - 10:30 pm;-1.206.602;-7.704.657;07:00 am - 10:30 pm;AV. BRASIL NRO 680 (ESQ. RESTURACION) LIMA-LIMA-BREÑA;;;;;;
-7.694.021;-1.210.632;MAXIFARMA;AV LOS FRESNOS 1497 MZ J LT 1 URB PORTADA DEL SOL 2DA ETAPA ;07:00 am - 10:00 pm;-1.210.632;-7.694.021;07:00 am - 10:00 pm;AV LOS FRESNOS 1497 MZ J LT 1 URB PORTADA DEL SOL 2DA ETAPA;;;;;;
-7.703.546;-1.208.613;TIENDAS TAMBO S.A.C;AV. ARENALES NRO 2140 LIMA-LIMA-LIMA;07:00 am - 10:30 pm;-1.208.613;-7.703.546;07:00 am - 10:30 pm;AV. ARENALES NRO 2140 LIMA-LIMA-LIMA;;;;;;
-7.703.335;-1.209.013;OXXO LAVANDA;AV. AREQUIPA N°2661;07:00 am - 10:00 pm;-1.209.013;-7.703.335;07:00 am - 10:00 pm;AV. AREQUIPA N°2661;;;;;;
-7.702.256;-121.362;TIENDAS TAMBO S.A.C;AV. GRAU 1620, ESQUINA CON JUAN FANNING - BARRANCO;07:00 am - 10:30 pm;-121.362;-7.702.256;07:00 am - 10:30 pm;AV. GRAU 1620, ESQUINA CON JUAN FANNING - BARRANCO;;;;;;
-7.709.239;-1.207.802;TIENDAS TAMBO S.A.C;AV. LA MARINA NRO. 2679(PRIMER NIVEL) LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-1.207.802;-7.709.239;07:00 am - 10:30 pm;AV. LA MARINA NRO. 2679(PRIMER NIVEL) LIMA-LIMA-SAN MIGUEL;;;;;;
-7.702.788;-1.203.172;TIENDAS TAMBO S.A.C;AV SAMUEL ALCAZAR 202 - 204 RIMAC;07:00 am - 10:30 pm;-1.203.172;-7.702.788;07:00 am - 10:30 pm;AV SAMUEL ALCAZAR 202 - 204 RIMAC;;;;;;
-7.706.579;-1.208.923;TIENDAS TAMBO S.A.C;AV BRASIL 3238- 3242;07:00 am - 10:30 pm;-1.208.923;-7.706.579;07:00 am - 10:30 pm;AV BRASIL 3238- 3242;;;;;;
-7.694.853;-1.210.351;BOOMARKET;AV. ALAMEDA DEL CORREGIDOR 1962 URB LA ENSENADA ;07:00 am - 10:00 pm;-1.210.351;-7.694.853;07:00 am - 10:00 pm;AV. ALAMEDA DEL CORREGIDOR 1962 URB LA ENSENADA;;;;;;
-77.032;-1.209.195;BODEGA AMORE;AV. JAVIER PRADO ESTE 215;07:00 am - 10:00 pm;-1.209.195;-77.032;07:00 am - 10:00 pm;AV. JAVIER PRADO ESTE 215;;;;;;
-7.703.557;-120.825;TIENDAS TAMBO S.A.C;JR. CANDAMO NRO. 109 INT. 2-35 (ALT. CDRA 17 AV.ARENALES) LIMA-LIMA-LINCE;07:00 am - 10:30 pm;-120.825;-7.703.557;07:00 am - 10:30 pm;JR. CANDAMO NRO. 109 INT. 2-35 (ALT. CDRA 17 AV.ARENALES) LIMA-LIMA-LINCE;;;;;;
-7.707.945;-1.207.824;TIENDAS TAMBO S.A.C;AV. LA MARINA MZA. A LOTE. 33 LIMA-LIMA-PUEBLO LIBRE;07:00 am - 10:30 pm;-1.207.824;-7.707.945;07:00 am - 10:30 pm;AV. LA MARINA MZA. A LOTE. 33 LIMA-LIMA-PUEBLO LIBRE;;;;;;
-7.702.609;-1.208.959;NEGOCIOS TAYBE S.A.C. - NETAYBE S.A.C.;CAL.FRANCISCO MASIAS NRO. 2620 URB. SAN EUGENIO;07:30 am - 10:00 pm;-1.208.959;-7.702.609;07:30 am - 10:00 pm;CAL.FRANCISCO MASIAS NRO. 2620 URB. SAN EUGENIO;;;;;;
-7.699.634;-120.876;MARX;AV. SAN LUIS 1907 INTERIOR 22;07:00 am - 10:00 pm;-120.876;-7.699.634;07:00 am - 10:00 pm;AV. SAN LUIS 1907 INTERIOR 22;;;;;;
-7.703.205;-12.093;BOTICA MERCEDES;AV PETIT THOUARS 3026;07:30 am - 10:00 pm;-12.093;-7.703.205;07:30 am - 10:00 pm;AV PETIT THOUARS 3026;;;;;;
-7.701.026;-1.199.639;TIENDAS TAMBO S.A.C;MZA W LOTE 23 URB. SAN HILARION LIMA-LIMA-SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.199.639;-7.701.026;07:00 am - 10:30 pm;MZA W LOTE 23 URB. SAN HILARION LIMA-LIMA-SAN JUAN DE LURIGANCHO;;;;;;
-7.702.219;-1.213.908;TIENDAS TAMBO S.A.C;AV. ALMIRANTE  MIGUEL GRAU  1210,BARRANCO  ;07:00 am - 10:30 pm;-1.213.908;-7.702.219;07:00 am - 10:30 pm;AV. ALMIRANTE  MIGUEL GRAU  1210,BARRANCO;;;;;;
-7.706.155;-1.208.416;TIENDAS TAMBO S.A.C;AV. BRASIL NRO. 2688 (1ER. PISO) LIMA-LIMA-PUEBLO LIBRE;07:00 am - 10:30 pm;-1.208.416;-7.706.155;07:00 am - 10:30 pm;AV. BRASIL NRO. 2688 (1ER. PISO) LIMA-LIMA-PUEBLO LIBRE;;;;;;
-7.703.857;-1.209.299;KIOSKO MARIA ROSA;"AV JAVIER PRADO OESTE CUADRA 6(AL FRENTE DEL PARADERO PALMERAS ""KIOSKO"" )";07:30 am - 10:00 pm;-1.209.299;-7.703.857;07:30 am - 10:00 pm;"AV JAVIER PRADO OESTE CUADRA 6(AL FRENTE DEL PARADERO PALMERAS ""KIOSKO"" )";;;;;;
-7.705.401;-1.207.481;TIENDAS TAMBO S.A.C;AV.SIMÓN BOLIVAR 126 FUNDO DESAMPARADOS LIMA-LIMA-PUEBLO LIBRE;07:00 am - 10:30 pm;-1.207.481;-7.705.401;07:00 am - 10:30 pm;AV.SIMÓN BOLIVAR 126 FUNDO DESAMPARADOS LIMA-LIMA-PUEBLO LIBRE;;;;;;
-7.703.243;-1.209.037;TIENDAS TAMBO S.A.C;AV. PETIT THOUARS 2699 - LINCE;07:00 am - 10:30 pm;-1.209.037;-7.703.243;07:00 am - 10:30 pm;AV. PETIT THOUARS 2699 - LINCE;;;;;;
-770.397;-1.205.413;TIENDAS TAMBO S.A.C;AV. URUGUAY 401, LIMA 15001;07:00 am - 10:30 pm;-1.205.413;-770.397;07:00 am - 10:30 pm;AV. URUGUAY 401, LIMA 15001;;;;;;
-7.697.345;-1.208.364;TIENDAS TAMBO S.A.C;AV. JAVIER PRADO CDRA. 45 LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.208.364;-7.697.345;07:00 am - 10:30 pm;AV. JAVIER PRADO CDRA. 45 LIMA-LIMA-SANTIAGO DE SURCO;;;;;;
-7.705.213;-1.207.539;TIENDAS TAMBO S.A.C;AV. GENERAL GARZON 1535-(1545-1547-1549) ;07:00 am - 10:30 pm;-1.207.539;-7.705.213;07:00 am - 10:30 pm;AV. GENERAL GARZON 1535-(1545-1547-1549);;;;;;
-7.688.896;-1.208.653;MARIA AHIDE CHANTA CHIQUILLANQUI;MZA. 6 LOTE 22 TDA. 2 MUSA II ETAPA;07:00 am - 10:00 pm;-1.208.653;-7.688.896;07:00 am - 10:00 pm;MZA. 6 LOTE 22 TDA. 2 MUSA II ETAPA;;;;;;
-7.700.039;-1.197.458;TIENDAS TAMBO S.A.C;MZA. C1 LOTE. 12 URB. LOS PINOS (PRIMER PISO) LIMA-LIMA-SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.197.458;-7.700.039;07:00 am - 10:30 pm;MZA. C1 LOTE. 12 URB. LOS PINOS (PRIMER PISO) LIMA-LIMA-SAN JUAN DE LURIGANCHO;;;;;;
-7.692.436;-1.208.521;TIENDAS TAMBO S.A.C;AV. LA MOLINA ( EX AV. UNIVERSIDAD) DPTO SEC -1A  MZ J LT 21 D / 3090-3096 URBANIZACIÓN RINCONADA DEL LAGO - 1 ETAPA;07:00 am - 10:30 pm;-1.208.521;-7.692.436;07:00 am - 10:30 pm;AV. LA MOLINA ( EX AV. UNIVERSIDAD) DPTO SEC -1A  MZ J LT 21 D / 3090-3096 URBANIZACIÓN RINCONADA DEL LAGO - 1 ETAPA;;;;;;
-7.707.945;-1.207.824;TIENDAS TAMBO S.A.C;AV. LA MARINA MZA. A LOTE. 33 LIMA-LIMA-PUEBLO LIBRE;07:00 am - 10:30 pm;-1.207.824;-7.707.945;07:00 am - 10:30 pm;AV. LA MARINA MZA. A LOTE. 33 LIMA-LIMA-PUEBLO LIBRE;;;;;;
-7.703.783;-1.209.465;TIENDAS TAMBO S.A.C;AV. JORGE BASADRE N°536 ;07:00 am - 10:30 pm;-1.209.465;-7.703.783;07:00 am - 10:30 pm;AV. JORGE BASADRE N°536;;;;;;
-7.701.759;-1.213.886;TIENDAS TAMBO S.A.C;AVENIDA REPUBLICA DE PANAMA 326 LOCAL COMERCIAL 02 URB. FUNDO TEJADA BARRANCO;07:00 am - 10:30 pm;-1.213.886;-7.701.759;07:00 am - 10:30 pm;AVENIDA REPUBLICA DE PANAMA 326 LOCAL COMERCIAL 02 URB. FUNDO TEJADA BARRANCO;;;;;;
-7.701.535;-1.202.566;TIENDAS TAMBO S.A.C;AV. LIMA MZA. FIV4 LOTE. 96 URB. CAJA DE AGUA (AV LIMA 298 296 CAJA AGUA SJL);07:00 am - 10:30 pm;-1.202.566;-7.701.535;07:00 am - 10:30 pm;AV. LIMA MZA. FIV4 LOTE. 96 URB. CAJA DE AGUA (AV LIMA 298 296 CAJA AGUA SJL);;;;;;
-7.703.151;-1.212.257;TIENDAS TAMBO S.A.C;AV. DIAGONAL N° 530 -MIRAFLORES;07:00 am - 10:30 pm;-1.212.257;-7.703.151;07:00 am - 10:30 pm;AV. DIAGONAL N° 530 -MIRAFLORES;;;;;;
-7.695.063;-1.209.936;OXXO CORREGIDOR;AV. EL CORREGIDOR N° 1586;07:00 am - 10:00 pm;-1.209.936;-7.695.063;07:00 am - 10:00 pm;AV. EL CORREGIDOR N° 1586;;;;;;
-7.702.948;-1.212.219;TIENDAS TAMBO S.A.C;AV ERNESTO DIEZ CANSECO 164 -168 MIRAFLORES;07:00 am - 10:30 pm;-1.212.219;-7.702.948;07:00 am - 10:30 pm;AV ERNESTO DIEZ CANSECO 164 -168 MIRAFLORES;;;;;;
-7.703.309;-1.208.686;NOVAFARMA;AV. PETIT THOUARS 2300;07:30 am - 10:00 pm;-1.208.686;-7.703.309;07:30 am - 10:00 pm;AV. PETIT THOUARS 2300;;;;;;
-7.694.211;-1.206.147;FARMA 3B;AV HUAROCHIRI 363 URB COVIMA;07:00 am - 10:00 pm;-1.206.147;-7.694.211;07:00 am - 10:00 pm;AV HUAROCHIRI 363 URB COVIMA;;;;;;
-769.508;-1.206.328;IZYFARMA;AV LOS INGENIEROS 303 URB SANTA RAQUEL ;07:00 am - 10:00 pm;-1.206.328;-769.508;07:00 am - 10:00 pm;AV LOS INGENIEROS 303 URB SANTA RAQUEL;;;;;;
-770.177;-1.214.204;TIENDAS TAMBO S.A.C;AV. BOLOGNESI NRO. 938 LIMA-LIMA-BARRANCO;07:00 am - 10:30 pm;-1.214.204;-770.177;07:00 am - 10:30 pm;AV. BOLOGNESI NRO. 938 LIMA-LIMA-BARRANCO;;;;;;
-7.700.315;-1.201.769;TIENDAS TAMBO S.A.C;MZA. D-1 LOTE. 01 APV. POBLADORES LIMA - LIMA - SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.201.769;-7.700.315;07:00 am - 10:30 pm;MZA. D-1 LOTE. 01 APV. POBLADORES LIMA - LIMA - SAN JUAN DE LURIGANCHO;;;;;;
-770.381;-1.206.678;TIENDAS TAMBO S.A.C;AV. REPUBLICA DE CHILE NRO. 280 LIMA-LIMA-JESUS MARIA;07:00 am - 10:30 pm;-1.206.678;-770.381;07:00 am - 10:30 pm;AV. REPUBLICA DE CHILE NRO. 280 LIMA-LIMA-JESUS MARIA;;;;;;
-7.702.919;-1.208.932;OXXO MIRTOS;AV. PROLONG IQUITOS 2605;07:00 am - 10:00 pm;-1.208.932;-7.702.919;07:00 am - 10:00 pm;AV. PROLONG IQUITOS 2605;;;;;;
-7.703.557;-120.825;TIENDAS TAMBO S.A.C;JR. CANDAMO NRO. 109 INT. 2-35 (ALT. CDRA 17 AV.ARENALES) LIMA-LIMA-LINCE;07:00 am - 10:30 pm;-120.825;-7.703.557;07:00 am - 10:30 pm;JR. CANDAMO NRO. 109 INT. 2-35 (ALT. CDRA 17 AV.ARENALES) LIMA-LIMA-LINCE;;;;;;
-7.694.217;-1.210.293;SUPER FARMA;AV LOS FRESNOS 1232 LAS VIÑAS ;07:00 am - 10:00 pm;-1.210.293;-7.694.217;07:00 am - 10:00 pm;AV LOS FRESNOS 1232 LAS VIÑAS;;;;;;
-7.697.345;-1.208.364;TIENDAS TAMBO S.A.C;AV. JAVIER PRADO CDRA. 45 LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.208.364;-7.697.345;07:00 am - 10:30 pm;AV. JAVIER PRADO CDRA. 45 LIMA-LIMA-SANTIAGO DE SURCO;;;;;;
-7.687.711;-1.208.453;SAMUEL ELIAS CONDOR MONTERA;CARRETERA CIENEGUILLA MZ A LT 03 AAHH PAUL PAULET ;07:00 am - 10:00 pm;-1.208.453;-7.687.711;07:00 am - 10:00 pm;CARRETERA CIENEGUILLA MZ A LT 03 AAHH PAUL PAULET;;;;;;
-7.708.745;-1.207.923;OXXO BRIGIDA;AV BRIGADA SILVA DE OCHOA N° 348;07:00 am - 10:00 pm;-1.207.923;-7.708.745;07:00 am - 10:00 pm;AV BRIGADA SILVA DE OCHOA N° 348;;;;;;
-7.694.472;-1.210.171;MINIMARKET MAZZ MAZZ;ALAMEDA DE LOS CÓNDORES 604, LA MOLINA 15012;07:00 am - 10:00 pm;-1.210.171;-7.694.472;07:00 am - 10:00 pm;ALAMEDA DE LOS CÓNDORES 604, LA MOLINA 15012;;;;;;
-7.707.755;-1.206.948;TIENDAS TAMBO S.A.C;AV. UNIVERSITARIA NRO. 1833 LIMA - LIMA - PUEBLO LIBRE (MAGDALENA VIEJA);07:00 am - 10:30 pm;-1.206.948;-7.707.755;07:00 am - 10:30 pm;AV. UNIVERSITARIA NRO. 1833 LIMA - LIMA - PUEBLO LIBRE (MAGDALENA VIEJA);;;;;;
-7.701.006;-1.202.597;TIENDAS TAMBO S.A.C;URBANIZACIÓN CAJA DE AGUA PARCELA 4 MZ J LTE 1 (AV. PROCERES 190) LIMA-LIMA-SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.202.597;-7.701.006;07:00 am - 10:30 pm;URBANIZACIÓN CAJA DE AGUA PARCELA 4 MZ J LTE 1 (AV. PROCERES 190) LIMA-LIMA-SAN JUAN DE LURIGANCHO;;;;;;
-7.702.634;-1.202.434;JESSICA VILMA QUISPE TITO;AV EL SOL 591A;07:00 am - 10:00 pm;-1.202.434;-7.702.634;07:00 am - 10:00 pm;AV EL SOL 591A;;;;;;
-7.703.488;-12.08;OXXO AREQUIPA;AV. AREQUIPA 1501, LINCE;07:00 am - 10:00 pm;-12.08;-7.703.488;07:00 am - 10:00 pm;AV. AREQUIPA 1501, LINCE;;;;;;
-7.696.448;-1.207.643;OXXO BUCARÉ;AV. JAVIER PRADO ESTE N° 5299;07:00 am - 10:00 pm;-1.207.643;-7.696.448;07:00 am - 10:00 pm;AV. JAVIER PRADO ESTE N° 5299;;;;;;
-7.703.082;-1.212.144;TIENDAS TAMBO S.A.C;AV. MARISCAL OSCAR R. BENAVIDES (EX DIAGONAL) 384, 386 Y 388, DISTRITO DE MIRAFLORES;07:00 am - 10:30 pm;-1.212.144;-7.703.082;07:00 am - 10:30 pm;AV. MARISCAL OSCAR R. BENAVIDES (EX DIAGONAL) 384, 386 Y 388, DISTRITO DE MIRAFLORES;;;;;;
-7.707.051;-1.209.774;TIENDAS TAMBO S.A.C;AV. EJERCITO NRO. 282 LIMA - LIMA - MAGDALENA DEL MAR;07:00 am - 10:30 pm;-1.209.774;-7.707.051;07:00 am - 10:30 pm;AV. EJERCITO NRO. 282 LIMA - LIMA - MAGDALENA DEL MAR;;;;;;
-7.688.844;-1.208.611;R&R CORPORATION SAC;PSJE LAS LANTANAS 400 URB MUSA;07:00 am - 10:00 pm;-1.208.611;-7.688.844;07:00 am - 10:00 pm;PSJE LAS LANTANAS 400 URB MUSA;;;;;;
-7.691.292;-1.208.569;OXXO EL SOL;AV. LA MOLINA N° 3614;07:00 am - 10:00 pm;-1.208.569;-7.691.292;07:00 am - 10:00 pm;AV. LA MOLINA N° 3614;;;;;;
-7.703.082;-1.212.144;TIENDAS TAMBO S.A.C;AV. MARISCAL OSCAR R. BENAVIDES (EX DIAGONAL) 384, 386 Y 388, DISTRITO DE MIRAFLORES;07:00 am - 10:30 pm;-1.212.144;-7.703.082;07:00 am - 10:30 pm;AV. MARISCAL OSCAR R. BENAVIDES (EX DIAGONAL) 384, 386 Y 388, DISTRITO DE MIRAFLORES;;;;;;
-770.241;-1.209.561;OXXO PASEO;AV. PASEO DE LA REPÚBLICA 3199;07:00 am - 10:00 pm;-1.209.561;-770.241;07:00 am - 10:00 pm;AV. PASEO DE LA REPÚBLICA 3199;;;;;;
-7.702.699;-1.209.068;OXXO CLEMENTE;AV. RIVERA NAVARRETE N° 2801;07:00 am - 10:00 pm;-1.209.068;-7.702.699;07:00 am - 10:00 pm;AV. RIVERA NAVARRETE N° 2801;;;;;;
-7.694.295;-1.206.843;CASA DE APUESTAS-CABINA INTERNET;AV FLORA TRISTAN SUR 616 URB SANTA PATRICIA II ETAPA ;07:00 am - 10:00 pm;-1.206.843;-7.694.295;07:00 am - 10:00 pm;AV FLORA TRISTAN SUR 616 URB SANTA PATRICIA II ETAPA;;;;;;
-7.700.547;-1.198.537;TIENDAS TAMBO S.A.C;AV. EL SOL NRO. 452 URB. SAN CARLOS LIMA - LIMA - SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.198.537;-7.700.547;07:00 am - 10:30 pm;AV. EL SOL NRO. 452 URB. SAN CARLOS LIMA - LIMA - SAN JUAN DE LURIGANCHO;;;;;;
-7.701.077;-1.198.918;TIENDAS TAMBO S.A.C;MZA. A LOTE. 1 URB. COOPERATIVA DE VIVIENDA L LIMA-LIMA-SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.198.918;-7.701.077;07:00 am - 10:30 pm;MZA. A LOTE. 1 URB. COOPERATIVA DE VIVIENDA L LIMA-LIMA-SAN JUAN DE LURIGANCHO;;;;;;
-76.955;-1.207.339;TIENDAS TAMBO S.A.C;AV. JUAN PASCAL PRINGLES NRO 410 INT 134 LIMA-LIMA-LA MOLINA (REF. CC LA FONTANA);07:00 am - 10:30 pm;-1.207.339;-76.955;07:00 am - 10:30 pm;AV. JUAN PASCAL PRINGLES NRO 410 INT 134 LIMA-LIMA-LA MOLINA (REF. CC LA FONTANA);;;;;;
-7.707.756;-1.206.343;LA LUZ VERDE;JR STA NICERATA 334 URB PANDO ETAPA 3 / FRENTE AL PARQUE;07:30 am - 10:00 pm;-1.206.343;-7.707.756;07:30 am - 10:00 pm;JR STA NICERATA 334 URB PANDO ETAPA 3 / FRENTE AL PARQUE;;;;;;
-76.986;-1.195.962;TIENDAS TAMBO S.A.C;MZ. K2 LT. 1 CDRA 1 LD. DERECHO LUGAR. PROL. MARISCAL CACERES / SECTOR 1 - 3 ERA Y 4TA ETAPA ;07:00 am - 10:30 pm;-1.195.962;-76.986;07:00 am - 10:30 pm;MZ. K2 LT. 1 CDRA 1 LD. DERECHO LUGAR. PROL. MARISCAL CACERES / SECTOR 1 - 3 ERA Y 4TA ETAPA;;;;;;
-7.702.841;-1.202.641;BODEGA VANESSITA;AV LORENZO ENCALADA N° 188 -URB CIUDAD Y CAMPO/ENTRE ENCALADA Y BARREDA AGUILAR;07:30 am - 10:00 pm;-1.202.641;-7.702.841;07:30 am - 10:00 pm;AV LORENZO ENCALADA N° 188 -URB CIUDAD Y CAMPO/ENTRE ENCALADA Y BARREDA AGUILAR;;;;;;
-7.702.219;-121.423;TIENDAS TAMBO S.A.C;AV. PEREZ ROCA N°103 INT.947 (AV. MIGUEL GRAU 947) LIMA-LIMA-BARRANCO;07:00 am - 10:30 pm;-121.423;-7.702.219;07:00 am - 10:30 pm;AV. PEREZ ROCA N°103 INT.947 (AV. MIGUEL GRAU 947) LIMA-LIMA-BARRANCO;;;;;;
-7.692.803;-1.208.278;TIENDAS TAMBO S.A.C;AV. LA MOLINA 2832 A15 MZ D LOTE 02 EL SAUCE DE LA RINCONADA;07:00 am - 10:30 pm;-1.208.278;-7.692.803;07:00 am - 10:30 pm;AV. LA MOLINA 2832 A15 MZ D LOTE 02 EL SAUCE DE LA RINCONADA;;;;;;
-7.694.258;-1.206.044;TIENDAS TAMBO S.A.C;AV. HUAROCHIRI NRO. 405 URB. COVIMA LIMA - LIMA - LA MOLINA;07:00 am - 10:30 pm;-1.206.044;-7.694.258;07:00 am - 10:30 pm;AV. HUAROCHIRI NRO. 405 URB. COVIMA LIMA - LIMA - LA MOLINA;;;;;;
-7.694.658;-1.206.256;LA ESQUINA DEL MOVIMIENTO;AV. DE LOS CONSTRUCTORES NRO. 1101 URB. SANTA PATRICIA;07:30 am - 10:00 pm;-1.206.256;-7.694.658;07:30 am - 10:00 pm;AV. DE LOS CONSTRUCTORES NRO. 1101 URB. SANTA PATRICIA;;;;;;
-770.104;-1.201.797;TIENDAS TAMBO S.A.C;MZA. 45 LOTE. 463 COO. LAS FLORES LIMA - LIMA - SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.201.797;-770.104;07:00 am - 10:30 pm;MZA. 45 LOTE. 463 COO. LAS FLORES LIMA - LIMA - SAN JUAN DE LURIGANCHO;;;;;;
-770.356;-1.200.729;BOTICA VIDA SALUD;MZ D LT 4 COOPERATIVA MIRAFLORES;07:00 am - 10:00 pm;-1.200.729;-770.356;07:00 am - 10:00 pm;MZ D LT 4 COOPERATIVA MIRAFLORES;;;;;;
-7.702.854;-1.202.579;D'PEDRIN; AV. BARREDA Y AGUILAR 103 – URB. CIUDAD Y CAMPO;07:00 am - 10:00 pm;-1.202.579;-7.702.854;07:00 am - 10:00 pm;AV. BARREDA Y AGUILAR 103 – URB. CIUDAD Y CAMPO;;;;;;
-7.694.306;-1.210.134;TIENDAS TAMBO S.A.C;AV. A MZA. B LOTE. 15 URB. VALLE DE LA MOLINA LIMA - LIMA - LA MOLINA;07:00 am - 10:30 pm;-1.210.134;-7.694.306;07:00 am - 10:30 pm;AV. A MZA. B LOTE. 15 URB. VALLE DE LA MOLINA LIMA - LIMA - LA MOLINA;;;;;;
-7.704.657;-1.206.602;TIENDAS TAMBO S.A.C;AV. BRASIL NRO 680 (ESQ. RESTURACION) LIMA-LIMA-BREÑA;07:00 am - 10:30 pm;-1.206.602;-7.704.657;07:00 am - 10:30 pm;AV. BRASIL NRO 680 (ESQ. RESTURACION) LIMA-LIMA-BREÑA;;;;;;
-7.697.308;-1.208.533;TIENDAS TAMBO S.A.C;AV. MANUEL OLGUIN NRO. 205 URB. EX PARCELACION SEMIRUSTICA LOS GRANADOS LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.208.533;-7.697.308;07:00 am - 10:30 pm;AV. MANUEL OLGUIN NRO. 205 URB. EX PARCELACION SEMIRUSTICA LOS GRANADOS LIMA-LIMA-SANTIAGO DE SURCO;;;;;;
-7.693.632;-1.211.325;LULE'S BAZAR;AV. LOS FRESNOS 2033, LA MOLINA 15024;07:00 am - 10:00 pm;-1.211.325;-7.693.632;07:00 am - 10:00 pm;AV. LOS FRESNOS 2033, LA MOLINA 15024;;;;;;
-7.702.934;-1.206.167;TIENDAS TAMBO S.A.C;AV. MANCO CAPAC NRO. 299 LIMA-LIMA-LA VICTORIA;07:00 am - 10:30 pm;-1.206.167;-7.702.934;07:00 am - 10:30 pm;AV. MANCO CAPAC NRO. 299 LIMA-LIMA-LA VICTORIA;;;;;;
-7.701.136;-1.200.716;TIENDAS TAMBO S.A.C;AV. LAS FLORES DE PRIMAVERA MZA. 98 LOTE. 18 (PRIMER PISO) LIMA-LIMA-SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.200.716;-7.701.136;07:00 am - 10:30 pm;AV. LAS FLORES DE PRIMAVERA MZA. 98 LOTE. 18 (PRIMER PISO) LIMA-LIMA-SAN JUAN DE LURIGANCHO;;;;;;
-7.703.515;-1.207.656;LAS 4 HORMIGAS;JR.  ENRIQUE VILLAR  236;07:00 am - 10:00 pm;-1.207.656;-7.703.515;07:00 am - 10:00 pm;JR.  ENRIQUE VILLAR  236;;;;;;
-7.689.208;-1.208.585;MINIMARKET LA TERCERA;AV. LA MOLINA 4760 ;07:00 am - 10:00 pm;-1.208.585;-7.689.208;07:00 am - 10:00 pm;AV. LA MOLINA 4760;;;;;;
-7.706.477;-1.208.879;OXXO LARCO;AV BRASIL NRO 3199;07:00 am - 10:00 pm;-1.208.879;-7.706.477;07:00 am - 10:00 pm;AV BRASIL NRO 3199;;;;;;
-7.703.687;-1.207.461;MULTISERVICIOS MARIA;AV ALEJANDRO TIRADO 109 (CRUCE CUBA CON ARENALES);07:30 am - 10:00 pm;-1.207.461;-7.703.687;07:30 am - 10:00 pm;AV ALEJANDRO TIRADO 109 (CRUCE CUBA CON ARENALES);;;;;;
