X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;
-76.955;-1.207.339;TIENDAS TAMBO S.A.C;AV. JUAN PASCAL PRINGLES NRO 410 INT 134 LIMA-LIMA-LA MOLINA (REF. CC LA FONTANA);07:00 am - 10:30 pm;-1.207.339;-76.955;07:00 am - 10:30 pm;AV. JUAN PASCAL PRINGLES NRO 410 INT 134 LIMA-LIMA-LA MOLINA (REF. CC LA FONTANA);;;;;;
-769.492;-1.210.267;TIENDAS TAMBO S.A.C;AV. ALAMEDA DEL CORREGIDOR NRO. 1684 URB. LAS VIÑAS (PRIMER NIVEL) LIMA-LIMA-LA MOLINA;07:00 am - 10:30 pm;-1.210.267;-769.492;07:00 am - 10:30 pm;AV. ALAMEDA DEL CORREGIDOR NRO. 1684 URB. LAS VIÑAS (PRIMER NIVEL) LIMA-LIMA-LA MOLINA;;;;;;
-7.693.868;-1.211.074;MINIMARKET GRAUINO;JR. CHAN CHAN 105 MZ. C LT 1 URB. PORTADA DEL SOL DE LA MOLINA;07:30 am - 10:00 pm;-1.211.074;-7.693.868;07:30 am - 10:00 pm;JR. CHAN CHAN 105 MZ. C LT 1 URB. PORTADA DEL SOL DE LA MOLINA;;;;;;
-7.694.258;-1.206.044;TIENDAS TAMBO S.A.C;AV. HUAROCHIRI NRO. 405 URB. COVIMA LIMA - LIMA - LA MOLINA;07:00 am - 10:30 pm;-1.206.044;-7.694.258;07:00 am - 10:30 pm;AV. HUAROCHIRI NRO. 405 URB. COVIMA LIMA - LIMA - LA MOLINA;;;;;;
-769.492;-1.210.267;TIENDAS TAMBO S.A.C;AV. ALAMEDA DEL CORREGIDOR NRO. 1684 URB. LAS VIÑAS (PRIMER NIVEL) LIMA-LIMA-LA MOLINA;07:00 am - 10:30 pm;-1.210.267;-769.492;07:00 am - 10:30 pm;AV. ALAMEDA DEL CORREGIDOR NRO. 1684 URB. LAS VIÑAS (PRIMER NIVEL) LIMA-LIMA-LA MOLINA;;;;;;
-7.703.243;-1.209.037;TIENDAS TAMBO S.A.C;AV. PETIT THOUARS 2699 - LINCE;07:00 am - 10:30 pm;-1.209.037;-7.703.243;07:00 am - 10:30 pm;AV. PETIT THOUARS 2699 - LINCE;;;;;;
-7.696.771;-1.208.202;TIENDAS TAMBO S.A.C;AV. CIRCUNVALACIÓN NRO S/N URB CLUB GOLF LOS INCAS LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.208.202;-7.696.771;07:00 am - 10:30 pm;AV. CIRCUNVALACIÓN NRO S/N URB CLUB GOLF LOS INCAS LIMA-LIMA-SANTIAGO DE SURCO;;;;;;
-771.001;-1.207.443;TIENDAS TAMBO S.A.C;AV. LA MARINA NRO. 3289 LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-1.207.443;-771.001;07:00 am - 10:30 pm;AV. LA MARINA NRO. 3289 LIMA-LIMA-SAN MIGUEL;;;;;;
-7.693.836;-1.206.689;TIENDAS TAMBO S.A.C;AV. MELGAREJO NRO. 596 URB. SANTA PATRICIA 1 ETAPA (TIENDA 1 PRIMER PISO);07:00 am - 10:30 pm;-1.206.689;-7.693.836;07:00 am - 10:30 pm;AV. MELGAREJO NRO. 596 URB. SANTA PATRICIA 1 ETAPA (TIENDA 1 PRIMER PISO);;;;;;
-7.697.308;-1.208.533;TIENDAS TAMBO S.A.C;AV. MANUEL OLGUIN NRO. 205 URB. EX PARCELACION SEMIRUSTICA LOS GRANADOS LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.208.533;-7.697.308;07:00 am - 10:30 pm;AV. MANUEL OLGUIN NRO. 205 URB. EX PARCELACION SEMIRUSTICA LOS GRANADOS LIMA-LIMA-SANTIAGO DE SURCO;;;;;;
