X;Y;Name;LATITUD;LONGITUD
-7.708.168;-11.972.870.973.832;COMPLEJO DEPORTIVO;-11.972.871;-7.708.168
-77.082.971;-11.975.741.973.832;PISCOBAMBA;-11.975.742;-77.082.971
-77.089.194;-11.974.474.973.832;OVALO CANTA CALLAO;-11.974.475;-77.089.194
-77.092.899;-11.977.565.973.832;LOS OLIVOS;-11.977.566;-77.092.899
-77.096.075;-11.980.439.973.832;LOS ALISOS;-1.198.044;-77.096.075
-77.099.528;-11.983.528.973.832;SANTA ROSA;-11.983.529;-77.099.528
-77.103.159;-11.986.766.973.832;COLEGIO;-11.986.767;-77.103.159
-77.105.215;-11.988.589.973.832;IZAGUIRRE;-1.198.859;-77.105.215
-77.107.054;-11.990.343.973.832;DOMINICOS;-11.990.344;-77.107.054
-77.110.251;-11.993.844.973.832;PACASMAYO;-11.993.845;-77.110.251
-77.112.452;-11.996.255.973.832;BERTELLO;-11.996.256;-77.112.452
-77.116.672;-12.000.682.973.832;FAUCETT;-12.000.683;-77.116.672
-77.114.269;-12.005.813.973.832;CEDROS;-12.005.814;-77.114.269
-77.110.832;-12.012.575.973.832;GRUPO 8;-12.012.576;-77.110.832
-7.710.765;-12.019.045.973.832;OUTLET;-12.019.046;-7.710.765
-77.105.268;-12.024.344.973.832;ADUANAS;-12.024.345;-77.105.268
-77.103.081;-12.028.012.973.832;LIMA CARGO;-12.028.013;-77.103.081
-77.099.722;-12.035.392.973.832;QUILCA;-12.035.393;-77.099.722
-77.097.666;-12.039.815.973.832;INDEPENDENCIA;-12.039.816;-77.097.666
-77.095.583;-12.039.421.973.832;ALCIDES DE CARRIÓN;-12.039.422;-77.095.583
-77.093.595;-12.039.025.973.832;JORGE CHAVEZ;-12.039.026;-77.093.595
-77.090.576;-12.038.471.973.832;12 DE OCTUBRE ;-12.038.472;-77.090.576
-77.086.483;-12.037.713.973.832;OLAYA;-12.037.714;-77.086.483
-77.083.104;-12.037.027.973.832;CHUMPITAS;-12.037.028;-77.083.104
-77.080.067;-12.036.468.973.832;POLIDEPORTIVO;-12.036.469;-77.080.067
-77.078.343;-12.036.114.973.832;BELLA UNION;-12.036.115;-77.078.343
-77.076.756;-12.035.794.973.832;RODRIGUEZ DE MENDOZA;-12.035.795;-77.076.756
-77.077.185;-12.035.589.973.832;BELLA UNION ;-1.203.559;-77.077.185
-7.708.094;-12.036.296.973.832;POLIDEPORTIVO;-12.036.297;-7.708.094
-7.708.393;-12.036.971.973.832;CHUMPITAS;-12.036.972;-7.708.393
-77.088.155;-12.037.775.973.832;OLAYA;-12.037.776;-77.088.155
-77.090.636;-12.038.248.973.832;12 DE OCTUBRE;-12.038.249;-77.090.636
-77.095.281;-12.039.131.973.832;ALCIDES CARRIÓN;-12.039.132;-77.095.281
-77.099.131;-12.036.287.973.832;QUILCA;-12.036.288;-77.099.131
-77.102.733;-12.028.093.973.832;LIMA CARGO;-12.028.094;-77.102.733
-77.105.122;-12.023.728.973.832;ADUANAS;-12.023.729;-77.105.122
-7.710.685;-12.020.188.973.832;OUTLET;-12.020.189;-7.710.685
-77.110.789;-12.012.146.973.832;GRUPO 8;-12.012.147;-77.110.789
-77.112.172;-12.009.372.973.832;AERONAVAL;-12.009.373;-77.112.172
-77.116.355;-12.001.264.973.832;FAUCETT;-12.001.265;-77.116.355
-77.112.898;-11.997.248.973.832;BERTELLO;-11.997.249;-77.112.898
-77.110.273;-11.994.543.973.832;PACASMAYO;-11.994.544;-77.110.273
-77.107.094;-11.991.061.973.832;DOMINICOS;-11.991.062;-77.107.094
-77.105.525;-11.989.510.973.832;IZAGUIRRE;-11.989.511;-77.105.525
-77.101.989;-11.986.588.973.832;COLEGIO;-11.986.589;-77.101.989
-77.099.508;-11.984.332.973.832;SANTA ROSA;-11.984.333;-77.099.508
-77.096.964;-11.982.063.973.832;LOS ALISOS;-11.982.064;-77.096.964
-7.709.295;-11.978.441.973.832;LOS OLIVOS;-11.978.442;-7.709.295
-77.089.881;-11.975.787.973.832;LOS NOGALES;-11.975.788;-77.089.881
-77.086.755;-11.975.072.973.832;CANTA CALLAO;-11.975.073;-77.086.755
-77.082.871;-11.976.118.973.832;HUANDOY;-11.976.119;-77.082.871
-77.081.157;-11.972.366.973.832;COMPLEJO DEPORTIVO;-11.972.367;-77.081.157
-77.080.209;-11.970.169.973.832;MARAÑON;-1.197.017;-77.080.209
-77.077.463;-11.964.118.973.832;PROCERES;-11.964.119;-77.077.463
-77.081.012;-11.962.170.973.832;AV. B;-11.962.171;-77.081.012
-77.082.974;-11.962.086.973.832;AV. A;-11.962.087;-77.082.974
