X;Y;Name;LATITUD;LONGITUD
-76.907.545;-12.086.279.973.832;MIAMI (204);-1.208.628;-76.907.545
-76.900.453;-12.086.215.973.832;LA PUNTA (204);-12.086.216;-76.900.453
-76.896.154;-12.086.241.973.832;NAPLO (204);-12.086.242;-76.896.154
-76.890.695;-12.086.370.973.832;MADRESELVA (204);-12.086.371;-76.890.695
-76.885.898;-12.085.492.973.832;SAUCES (204);-12.085.493;-76.885.898
-76.882.028;-12.085.142.973.832;LAS DUNAS (204);-12.085.143;-76.882.028
-76.878.595;-12.084.400.973.832;VICTOR MALASQUEZ (204);-12.084.401;-76.878.595
-768.719.422;-12.085.345.073.832;PARADERO 1 (204);-120.853.451;-768.719.422
-76.868.919;-12.086.003.973.832;SAN JUAN BAUTISTA (204);-12.086.004;-76.868.919
-77.002.064;-12.087.493.973.832;AVIACIÓN  (209);-12.087.494;-77.002.064
-77.032.733;-12.092.354.973.832;PETIT THOUARS (201);-12.092.355;-77.032.733
-76.964.457;-12.076.737.973.832;LOS FRUTALES (206);-12.076.738;-76.964.457
