X;Y;Name;LATITUD;LONGITUD
-77.028.021;-12.032.458.973.832;ALCAZAR (301, 303);-12.032.459;-77.028.021
-77.030.646;-12.029.282.973.832;LAS CALEZAS (301, 370);-12.029.283;-77.030.646
-77.032.754;-12.027.406.973.832;ARANCIBIA (301, 305);-12.027.407;-77.032.754
-77.033.844;-12.026.437.973.832;AMANCAES (301,305, 370);-12.026.438;-77.033.844
-77.031.749;-12.023.822.973.832;CALLE 3 (301, 370);-12.023.823;-77.031.749
-77.029.677;-12.021.376.973.832;EL SOL (301,336,370);-12.021.377;-77.029.677
-77.028.376;-12.018.860.973.832;CALLE 10 (301,336, 370);-12.018.861;-77.028.376
-77.042.741;-12.016.656.973.832;LAS LOMAS (371);-12.016.657;-77.042.741
-7.703.616;-12.024.607.973.832;MORRO DE ARICA (371, 305);-12.024.608;-7.703.616
-77.034.512;-12.026.105.973.832;AMANCAES (371,305);-12.026.106;-77.034.512
-770.343;-12.026.029.973.832;AMANCAES (371);-1.202.603;-770.343
-77.036.861;-12.023.741.973.832;MORRO DE ARICA (371);-12.023.742;-77.036.861
-7.704.193;-12.017.737.973.832;CONDOMINIOS (305,371);-12.017.738;-7.704.193
-77.030.986;-12.029.241.973.832;MADRID (370, 305);-12.029.242;-77.030.986
-77.026.909;-12.032.525.973.832;PROLONGACION ALCAZAR (370);-12.032.526;-77.026.909
-7.702.928;-12.030.477.973.832;ANTON SANCHEZ (370);-12.030.478;-7.702.928
-77.031.242;-12.013.918.973.832;CLAVELES (370);-12.013.919;-77.031.242
-77.032.514;-12.011.677.973.832;CEREZOS (370);-12.011.678;-77.032.514
-77.034.275;-12.009.562.973.832;PASAJE 17 (370);-12.009.563;-77.034.275
-77.035.733;-12.007.805.973.832;MONACO (370);-12.007.806;-77.035.733
-77.011.683;-12.025.128.973.832;LIMA (303);-12.025.129;-77.011.683
-7.701.503;-12.025.730.973.832;COMISARIA (303);-12.025.731;-7.701.503
-77.019.632;-12.026.241.973.832;LOSA (303);-12.026.242;-77.019.632
-77.038.933;-12.048.246.973.832;NICOLAS DE PIEROLA (303);-12.048.247;-77.038.933
-77.038.265;-12.056.839.973.832;ESPAÑA (303, 336);-1.205.684;-77.038.265
-77.036.135;-12.073.954.973.832;CUBA (303);-12.073.955;-77.036.135
-77.035.304;-12.079.444.973.832;MANUEL SEGURA (303);-12.079.445;-77.035.304
-77.029.876;-12.114.181.973.832;ANGAMOS (303);-12.114.182;-77.029.876
-77.029.266;-12.117.715.973.832;2 DE MAYO (303, 305);-12.117.716;-77.029.266
-77.029.844;-12.113.167.973.832;ANGAMOS (303);-12.113.168;-77.029.844
-77.030.652;-12.108.497.973.832;TERUEL (303);-12.108.498;-77.030.652
-77.034.277;-12.085.161.973.832;BERNALDO SALCEDO (303);-12.085.162;-77.034.277
-77.034.959;-12.080.406.973.832;MANUEL SEGURA (303);-12.080.407;-77.034.959
-77.035.891;-12.074.219.973.832;EMILIO FERNANDEZ (303);-1.207.422;-77.035.891
-77.036.664;-12.069.128.973.832;SACO OLIVEROS (303);-12.069.129;-77.036.664
-77.037.851;-12.059.227.973.832;ESPAÑA (303, 336);-12.059.228;-77.037.851
-77.038.035;-12.057.026.973.832;BOLIVIA (303,336);-12.057.027;-77.038.035
-77.038.241;-12.054.571.973.832;URUGUAY (303);-12.054.572;-77.038.241
-77.038.417;-12.047.901.973.832;MOQUEGUA (303);-12.047.902;-77.038.417
-77.036.595;-12.045.253.973.832;ICA (303);-12.045.254;-77.036.595
-77.031.904;-12.038.453.973.832;PIZARRO (303, 336);-12.038.454;-77.031.904
-77.017.148;-12.029.401.973.832;TALARA (EX MOQUEGUA - SJL) (303);-12.029.402;-77.017.148
-77.012.048;-12.028.552.973.832;PROCERES (303);-12.028.553;-77.012.048
-77.036.096;-12.044.120.973.832;ICA (305);-12.044.121;-77.036.096
-77.029.346;-12.116.279.973.832;PIURA INICIO (305);-1.211.628;-77.029.346
-77.031.186;-12.037.302.973.832;CHIRA (305);-12.037.303;-77.031.186
-77.028.103;-12.032.550.973.832;ALCAZAR (305);-12.032.551;-77.028.103
-77.030.742;-12.029.180.973.832;LAS CALEZAS (305);-12.029.181;-77.030.742
-77.037.011;-12.023.596.973.832;MORRO DE ARICA (305);-12.023.597;-77.037.011
-77.028.853;-12.029.220.973.832;LOS VIRREYES (336);-12.029.221;-77.028.853
-77.032.599;-12.039.011.973.832;VIRU (336);-12.039.012;-77.032.599
-77.038.114;-12.068.229.973.832;SACO OLIVEROS (336);-1.206.823;-77.038.114
-77.037.175;-12.074.351.973.832;CUBA (336);-12.074.352;-77.037.175
-77.036.538;-12.078.529.973.832;MANUEL DEL PINO (336);-1.207.853;-77.036.538
-77.036.035;-12.082.011.973.832;LEON VELARDE (336);-12.082.012;-77.036.035
-77.035.324;-12.086.827.973.832;JOAQUIN BERNAL (336);-12.086.828;-77.035.324
-77.034.877;-12.093.855.973.832;MANUEL BAÑON (336);-12.093.856;-77.034.877
-77.035.628;-12.096.155.973.832;PAZ SOLDAN (336);-12.096.156;-77.035.628
-77.036.926;-12.098.593.973.832;CHOQUEHUANCA (336);-12.098.594;-77.036.926
-7.703.866;-12.103.111.973.832;PEZET (336);-12.103.112;-7.703.866
-77.039.481;-12.106.740.973.832;DASSO (336);-12.106.741;-77.039.481
-77.037.423;-12.109.863.973.832;OVALO GUTIERREZ (336);-12.109.864;-77.037.423
-77.037.004;-12.113.699.973.832;ANGAMOS (336);-121.137;-77.037.004
-7.703.706;-12.118.750.973.832;PARDO (336);-12.118.751;-7.703.706
-77.036.869;-12.118.438.973.832;PARDO (336);-12.118.439;-77.036.869
-77.036.832;-12.114.440.973.832;ANGAMOS (336);-12.114.441;-77.036.832
-77.036.798;-12.112.917.973.832;OVALO GUTIERREZ (336);-12.112.918;-77.036.798
-77.037.046;-12.107.611.973.832;PARDO Y ALIGA (336);-12.107.612;-77.037.046
-77.036.873;-12.103.244.973.832;CONDE DE LA MONCLAVA (336);-12.103.245;-77.036.873
-77.036.372;-12.099.235.973.832;CHOQUEHUANCA (336);-12.099.236;-77.036.372
-77.035.642;-12.096.843.973.832;PAZ SOLDAN (336);-12.096.844;-77.035.642
-77.032.979;-12.094.178.973.832;OLAVIDE (336);-12.094.179;-77.032.979
-77.033.668;-12.089.505.973.832;DOMINGO CASANOVA (336);-12.089.506;-77.033.668
-77.033.101;-12.085.881.973.832;RISSO (336);-12.085.882;-77.033.101
-77.033.568;-12.082.548.973.832;MANUEL CANDAMO (336);-12.082.549;-77.033.568
